id,host_id,neighbourhood_cleansed,property_type,room_type,accommodates,price,minimum_nights,maximum_nights,bedrooms,beds,cancellation_policy,number_of_reviews,review_scores_accuracy
486913,2409917,Cuauhtemoc,Apartment,Entire home/apt,2,589,2,600,1,2,moderate,22,10
489774,2415111,Miguel Hidalgo,Apartment,Entire home/apt,6,2151,4,1125,2,3,moderate,43,9
491412,2428947,Miguel Hidalgo,Apartment,Private room,1,1193,7,25,1,1,flexible,0,
499553,1297488,Cuauhtemoc,Apartment,Entire home/apt,7,4981,3,30,4,6,strict_14_with_grace_period,23,10
517503,2547499,Venustiano Carranza,Guest suite,Private room,2,563,1,1125,1,1,flexible,111,10
521867,2566613,Alvaro Obregon,House,Private room,1,563,2,7,1,1,flexible,0,
527473,158585,Cuauhtemoc,Apartment,Entire home/apt,4,2921,1,180,2,3,strict_14_with_grace_period,166,10
555663,2732644,Cuauhtemoc,Apartment,Entire home/apt,4,1804,2,1125,2,2,strict_14_with_grace_period,26,10
561743,2761952,Cuauhtemoc,Apartment,Entire home/apt,3,1200,1,1125,1,1,strict_14_with_grace_period,2,10
567176,2336127,Cuauhtemoc,Apartment,Private room,1,204,7,90,1,1,moderate,24,10
571166,196253,Cuauhtemoc,Serviced apartment,Hotel room,3,2989,1,1125,1,1,strict_14_with_grace_period,1,10
579534,1326107,Cuauhtemoc,Apartment,Private room,2,410,5,1825,1,2,strict_14_with_grace_period,8,9
583039,2872228,Cuauhtemoc,Condominium,Entire home/apt,4,1948,2,60,2,2,moderate,48,9
607833,1849414,Gustavo A. Madero,Apartment,Private room,2,450,3,365,1,1,strict_14_with_grace_period,6,10
608312,1969996,Cuauhtemoc,House,Private room,2,1313,2,1125,1,1,moderate,28,10
609012,2944126,Cuauhtemoc,Apartment,Entire home/apt,2,1699,4,365,1,2,strict_14_with_grace_period,24,10
613181,3040937,Cuauhtemoc,Apartment,Entire home/apt,4,1960,3,365,2,2,strict_14_with_grace_period,182,9
617137,3059169,Cuauhtemoc,Apartment,Shared room,2,2264,1,1125,1,1,flexible,0,
618711,2269083,Miguel Hidalgo,Apartment,Shared room,1,204,2,120,1,1,strict_14_with_grace_period,60,9
628081,2991302,Cuauhtemoc,Apartment,Entire home/apt,3,1948,3,200,1,1,moderate,232,10
635324,264422,Alvaro Obregon,Apartment,Entire home/apt,2,912,2,125,1,1,flexible,149,10
640803,3200155,Alvaro Obregon,House,Entire home/apt,5,7427,4,21,2,2,strict_14_with_grace_period,22,10
642797,3151538,Miguel Hidalgo,Apartment,Entire home/apt,8,9036,2,45,3,3,strict_14_with_grace_period,89,10
654040,3289927,Miguel Hidalgo,Condominium,Private room,1,657,3,1124,1,1,moderate,1,
654106,3289927,Miguel Hidalgo,Condominium,Private room,1,657,5,180,1,1,moderate,1,10
655422,3299226,Venustiano Carranza,House,Entire home/apt,12,798,2,120,4,6,moderate,63,9
670265,3373329,Cuauhtemoc,Apartment,Shared room,1,498,1,90,1,1,flexible,0,
691019,3531879,Cuauhtemoc,Apartment,Entire home/apt,6,1879,2,330,2,2,strict_14_with_grace_period,246,10
696031,3531879,Miguel Hidalgo,Apartment,Entire home/apt,4,1177,15,330,2,2,strict_14_with_grace_period,144,9
696037,3531879,Miguel Hidalgo,Apartment,Entire home/apt,6,1358,24,360,3,3,moderate,35,10
704779,2872228,Cuauhtemoc,Condominium,Entire home/apt,2,1390,2,60,1,1,moderate,15,9
712611,3648353,Cuauhtemoc,Apartment,Entire home/apt,2,1472,3,31,1,1,moderate,169,9
717874,3701050,Cuauhtemoc,Apartment,Private room,1,1585,1,1125,1,1,flexible,0,
728372,3777702,Cuauhtemoc,House,Entire home/apt,16,3826,1,90,10,16,strict_14_with_grace_period,99,9
729898,1288063,Cuauhtemoc,Apartment,Entire home/apt,3,1449,1,30,1,2,moderate,271,10
736107,3800330,Cuauhtemoc,Apartment,Entire home/apt,4,1314,3,90,2,2,moderate,253,9
737328,3850198,Cuauhtemoc,Serviced apartment,Hotel room,2,1246,3,730,1,1,moderate,20,10
741557,3850198,Cuauhtemoc,Serviced apartment,Entire home/apt,2,1246,5,730,1,1,moderate,6,8
741564,3881522,Cuauhtemoc,House,Private room,2,342,4,90,1,1,strict_14_with_grace_period,82,9
741663,3882003,Cuajimalpa de Morelos,Apartment,Entire home/apt,1,1359,360,1095,1,,strict_14_with_grace_period,0,
757338,3991683,Coyoacan,Bed and breakfast,Hotel room,10,3600,3,8,5,0,moderate,32,10
758602,3996052,Benito Juarez,Apartment,Private room,1,702,1,1125,1,1,moderate,0,
760912,3817743,Cuauhtemoc,Apartment,Private room,2,902,1,14,1,1,flexible,5,9
773150,4079778,Coyoacan,Tiny house,Entire home/apt,3,1019,3,1125,2,2,moderate,12,10
783080,1767559,La Magdalena Contreras,House,Private room,1,684,1,90,1,1,flexible,1,10
783480,4129056,Cuajimalpa de Morelos,House,Private room,4,342,2,365,2,4,strict_14_with_grace_period,27,10
783609,4131894,Cuauhtemoc,Loft,Entire home/apt,5,2128,3,120,1,3,moderate,76,10
783919,4133627,Cuajimalpa de Morelos,Apartment,Entire home/apt,4,1902,20,365,2,3,moderate,29,10
784107,3126571,Cuauhtemoc,Apartment,Private room,2,474,2,30,1,1,flexible,58,10
796477,4195771,Cuauhtemoc,Apartment,Private room,2,519,2,120,1,1,moderate,137,9
811088,76304,Cuauhtemoc,Apartment,Entire home/apt,4,1472,60,1125,2,2,moderate,14,10
822005,4316391,Miguel Hidalgo,Loft,Entire home/apt,6,1291,4,360,1,1,strict_14_with_grace_period,48,9
824016,4326326,Cuauhtemoc,Apartment,Entire home/apt,2,902,4,180,1,1,moderate,46,9
826691,4326326,Cuauhtemoc,Apartment,Entire home/apt,2,815,3,200,1,1,moderate,18,9
828714,4344353,Coyoacan,Apartment,Entire home/apt,4,1698,1,1125,2,2,flexible,25,10
832805,3777702,Cuauhtemoc,House,Private room,2,453,1,1125,1,1,strict_14_with_grace_period,123,10
840176,2828190,Miguel Hidalgo,Apartment,Private room,2,294,1,1125,1,3,flexible,0,
844818,4410326,Benito Juarez,Apartment,Private room,2,453,2,1125,1,0,moderate,8,10
858277,3200155,Cuauhtemoc,Apartment,Entire home/apt,6,3805,3,300,3,4,strict_14_with_grace_period,136,10
864999,3991683,Coyoacan,House,Private room,2,566,3,8,1,0,moderate,21,9
865012,3850198,Cuauhtemoc,Serviced apartment,Hotel room,2,1246,3,730,1,1,moderate,30,10
865017,3991683,Coyoacan,House,Private room,2,589,3,8,1,1,moderate,5,9
865034,3991683,Coyoacan,Bed and breakfast,Private room,2,592,3,8,1,1,moderate,3,8
