id,host_id,neighbourhood_cleansed,property_type,room_type,accommodates,price,minimum_nights,maximum_nights,bedrooms,beds,cancellation_policy,number_of_reviews,review_scores_accuracy
18722841,130190068,Benito Juarez,Apartment,Entire home/apt,6,498,1,1125,1,1,moderate,70,9
18723625,130190068,Benito Juarez,Apartment,Entire home/apt,7,793,2,1125,2,3,moderate,58,10
18723746,130212431,Coyoacan,Apartment,Private room,1,180,3,18,0,1,flexible,0,
18728817,61239858,Cuauhtemoc,Loft,Entire home/apt,2,2038,3,1125,2,1,moderate,152,10
18729601,130259405,Miguel Hidalgo,Condominium,Entire home/apt,5,1231,2,1125,2,3,moderate,44,10
18729886,51355520,Cuauhtemoc,Apartment,Entire home/apt,5,793,1,1125,2,2,flexible,155,10
18730597,93320557,Cuauhtemoc,Apartment,Entire home/apt,2,430,1,10,1,1,flexible,1,6
18733147,6549185,Cuauhtemoc,Apartment,Entire home/apt,4,1466,3,1125,2,2,moderate,17,10
18733778,130299334,Cuauhtemoc,Apartment,Entire home/apt,3,1540,1,1125,1,1,flexible,32,10
18734711,77407057,Miguel Hidalgo,Apartment,Entire home/apt,8,8151,1,1125,3,5,strict_14_with_grace_period,42,9
18737040,52248486,Cuauhtemoc,House,Private room,2,226,1,120,1,1,strict_14_with_grace_period,1,8
18748739,10730083,Tlalpan,Loft,Entire home/apt,2,589,2,1125,1,1,strict_14_with_grace_period,5,10
18749233,50305161,Cuauhtemoc,Apartment,Entire home/apt,2,1631,5,90,1,1,moderate,7,10
18750179,10786214,Miguel Hidalgo,Apartment,Private room,1,498,3,7,1,1,flexible,0,
18751127,104537183,Cuauhtemoc,House,Private room,1,362,6,1125,1,1,flexible,1,10
18754486,130481158,Miguel Hidalgo,Apartment,Entire home/apt,5,4438,3,90,2,5,moderate,35,10
18755175,4717715,Cuauhtemoc,Apartment,Entire home/apt,3,2016,2,1125,1,2,moderate,78,10
18755593,95269630,Cuauhtemoc,Apartment,Entire home/apt,3,775,1,1125,2,2,flexible,41,10
18756910,64073223,Cuauhtemoc,Apartment,Private room,2,611,2,1125,1,1,flexible,0,
18757718,105629887,Coyoacan,Apartment,Private room,1,495,1,1125,1,1,flexible,0,
18764299,110805631,Alvaro Obregon,Aparthotel,Private room,4,1494,1,1125,2,2,moderate,3,9
18768125,130596402,Benito Juarez,Apartment,Private room,2,383,1,30,1,2,moderate,0,
18768967,54490693,Cuauhtemoc,Apartment,Entire home/apt,2,861,2,1125,1,1,flexible,83,10
18770807,110532301,Miguel Hidalgo,Apartment,Entire home/apt,4,1494,2,1125,2,3,strict_14_with_grace_period,55,10
18772252,44873503,Coyoacan,Apartment,Entire home/apt,2,744,2,30,1,1,flexible,1,10
18772660,50777129,Cuauhtemoc,Apartment,Private room,2,725,2,1125,1,1,flexible,0,
18772743,28017461,Benito Juarez,Apartment,Private room,3,204,1,70,2,2,strict_14_with_grace_period,54,9
18773477,27411678,Cuauhtemoc,Serviced apartment,Entire home/apt,4,1404,1,1124,2,2,flexible,119,10
18773673,48796070,Alvaro Obregon,House,Private room,1,360,1,31,1,1,moderate,5,9
18774178,35167977,Benito Juarez,Condominium,Entire home/apt,2,770,1,1125,1,2,strict_14_with_grace_period,7,9
18776137,63260058,Tlalpan,Apartment,Private room,1,272,182,365,1,1,moderate,1,10
18776369,33229795,Cuauhtemoc,Apartment,Entire home/apt,6,1246,1,1125,2,2,flexible,127,10
18776377,2936242,Miguel Hidalgo,Apartment,Entire home/apt,4,1404,2,15,2,2,moderate,30,9
18776725,130666446,Cuauhtemoc,Apartment,Entire home/apt,2,1110,2,1125,1,1,strict_14_with_grace_period,52,9
18777163,130672101,Coyoacan,House,Private room,1,203,90,1125,1,2,flexible,5,10
18777814,32682616,Benito Juarez,Guesthouse,Private room,2,566,2,1125,1,1,moderate,9,10
18778175,82956337,Miguel Hidalgo,Apartment,Private room,1,181,12,1125,1,1,flexible,0,
18778335,93730024,Iztapalapa,House,Entire home/apt,6,1494,2,1125,3,4,moderate,11,10
18784599,59102514,Coyoacan,House,Private room,1,204,1,1125,1,1,flexible,0,
18793293,130806896,Cuauhtemoc,Serviced apartment,Entire home/apt,4,702,2,1125,2,2,moderate,64,10
18793878,130814344,Cuauhtemoc,Apartment,Private room,2,408,1,1125,1,1,moderate,4,9
18795417,55141280,Cuauhtemoc,Loft,Entire home/apt,3,1208,1,365,1,0,strict_14_with_grace_period,183,9
18800247,20687100,Miguel Hidalgo,Apartment,Entire home/apt,4,2830,5,1125,2,2,strict_14_with_grace_period,15,10
18803946,130902060,Cuajimalpa de Morelos,House,Private room,2,453,1,1125,1,1,flexible,0,
18806112,92498535,Benito Juarez,Loft,Entire home/apt,4,702,1,1125,2,2,strict_14_with_grace_period,127,9
18806238,130921262,Cuauhtemoc,Apartment,Entire home/apt,2,747,1,1125,1,1,flexible,0,
18807816,130693572,Iztacalco,Apartment,Entire home/apt,5,450,2,30,2,2,strict_14_with_grace_period,44,10
18808139,130937808,Miguel Hidalgo,Apartment,Entire home/apt,4,793,2,1125,2,2,strict_14_with_grace_period,17,9
18811034,130965467,Tlalpan,Guesthouse,Private room,2,135,365,1125,2,2,flexible,0,
18818396,22654965,Benito Juarez,Apartment,Entire home/apt,3,1109,5,1125,2,3,flexible,14,10
18822083,1465182,Alvaro Obregon,House,Private room,2,775,1,31,1,2,moderate,103,10
18823248,28222931,Benito Juarez,House,Private room,2,294,1,8,1,1,moderate,19,10
18823679,107571401,Miguel Hidalgo,Guest suite,Private room,2,317,4,60,1,1,flexible,53,10
18824946,5755202,Venustiano Carranza,House,Entire home/apt,16,4981,2,1125,6,9,strict_14_with_grace_period,33,9
18827114,57051447,Cuauhtemoc,Apartment,Entire home/apt,4,1924,2,1125,1,2,moderate,128,10
18836569,131179599,Cuauhtemoc,Apartment,Private room,2,294,1,1125,1,1,flexible,0,
18838065,32096832,Coyoacan,Apartment,Private room,1,251,2,1125,1,1,flexible,2,10
18838801,27184580,Cuauhtemoc,Apartment,Private room,2,385,1,1125,1,1,moderate,3,7
18840554,131211824,Coyoacan,Guest suite,Entire home/apt,2,519,1,30,1,1,moderate,5,9
18849757,13283995,Benito Juarez,Apartment,Private room,2,226,2,30,1,1,moderate,5,10
18851992,41870909,Miguel Hidalgo,Apartment,Entire home/apt,4,747,3,1125,2,2,flexible,14,10
18854057,115969851,Coyoacan,House,Private room,3,1291,2,30,1,2,strict_14_with_grace_period,6,10
18854355,7025354,Cuauhtemoc,Apartment,Entire home/apt,4,1699,1,1125,1,2,strict_14_with_grace_period,153,8
18860747,29980120,Gustavo A. Madero,Apartment,Private room,2,248,2,25,1,1,moderate,4,10
18869327,112328574,Cuauhtemoc,Hostel,Private room,5,3895,1,60,2,3,flexible,4,8
18869668,84926151,Cuauhtemoc,Apartment,Entire home/apt,5,747,3,90,2,3,moderate,115,10
18869771,3974752,Cuauhtemoc,Apartment,Private room,2,498,1,1125,1,1,flexible,1,10
18869843,112328574,Cuauhtemoc,Hostel,Private room,5,3894,1,60,2,3,flexible,4,9
18869989,225844,Cuauhtemoc,Apartment,Private room,2,362,2,10,1,1,moderate,70,10
18870649,4448934,Cuauhtemoc,Apartment,Entire home/apt,16,4528,4,50,4,4,flexible,36,9
18871010,131480546,Miguel Hidalgo,Serviced apartment,Private room,2,2377,1,1125,1,1,flexible,0,
18872094,97794441,Cuauhtemoc,House,Private room,1,408,1,1125,1,1,flexible,94,10
18872353,118885045,Cuauhtemoc,Guesthouse,Entire home/apt,4,408,3,28,1,2,flexible,77,10
18872397,131480546,Miguel Hidalgo,Apartment,Private room,2,2377,1,1125,1,1,flexible,3,10
18872601,25437958,Cuauhtemoc,House,Private room,2,860,2,10,1,1,flexible,2,10
18876087,131525306,Benito Juarez,Other,Entire home/apt,2,611,2,6,1,1,flexible,0,
18876382,109035015,Iztapalapa,House,Entire home/apt,6,2718,2,1125,3,5,strict_14_with_grace_period,0,
18878505,119702119,Cuauhtemoc,House,Private room,1,361,1,11,1,1,flexible,150,10
18888947,61458596,Miguel Hidalgo,Apartment,Private room,2,589,1,30,1,1,flexible,0,
18890898,97865312,Benito Juarez,Apartment,Private room,2,798,1,1125,1,2,flexible,0,
18891329,131480546,Miguel Hidalgo,Serviced apartment,Private room,2,2377,1,30,1,1,flexible,1,10
18891684,131480546,Miguel Hidalgo,Serviced apartment,Private room,2,3396,1,1125,1,0,flexible,1,4
18892186,131480546,Miguel Hidalgo,Serviced apartment,Private room,2,2491,1,1125,1,0,flexible,0,
18892306,129584577,Cuauhtemoc,House,Private room,1,702,5,1125,1,1,moderate,0,
18895134,105333261,Benito Juarez,Apartment,Private room,2,204,1000,1125,1,1,flexible,6,9
18896661,131684216,Cuauhtemoc,Apartment,Private room,2,340,1,30,1,1,flexible,34,10
18898074,125000690,Coyoacan,Apartment,Private room,2,248,1,1125,1,1,flexible,12,10
18899843,129127995,La Magdalena Contreras,House,Private room,3,202,1,365,1,2,strict_14_with_grace_period,31,10
18907254,130654751,Benito Juarez,House,Private room,1,1132,3,365,1,1,strict_14_with_grace_period,0,
18907755,130609224,Cuauhtemoc,Apartment,Entire home/apt,4,10010,3,1125,2,3,flexible,0,
18909146,39261001,Cuauhtemoc,Apartment,Private room,4,2604,2,60,2,2,strict_14_with_grace_period,6,10
18909221,39261001,Cuauhtemoc,Apartment,Private room,2,1132,2,1125,1,1,moderate,30,10
18909836,116890395,Miguel Hidalgo,Apartment,Entire home/apt,4,3383,2,1125,2,3,moderate,8,10
18910171,131789444,Cuauhtemoc,Apartment,Private room,3,294,15,90,1,1,strict_14_with_grace_period,0,
18911331,130783655,Benito Juarez,Apartment,Private room,1,498,6,15,1,1,flexible,0,
18914046,56256791,Cuauhtemoc,Apartment,Entire home/apt,4,521,15,60,1,1,flexible,0,
18915002,19927450,Coyoacan,Guest suite,Entire home/apt,2,1132,1,1125,1,0,moderate,91,10
18915243,131118047,Iztapalapa,House,Entire home/apt,5,3205,1,137,5,5,flexible,0,
18915277,24784631,Cuauhtemoc,Apartment,Entire home/apt,4,1200,2,30,2,2,strict_14_with_grace_period,93,10
18916377,80072450,Benito Juarez,Loft,Entire home/apt,2,661,2,1125,1,1,moderate,54,10
18925806,48703617,Benito Juarez,House,Entire home/apt,4,1291,2,180,2,2,flexible,15,10
18927069,131927477,Iztapalapa,House,Private room,2,1125,1,1125,1,1,flexible,0,
18928242,131935733,Cuauhtemoc,Serviced apartment,Entire home/apt,5,1993,1,120,2,2,moderate,80,10
18928304,49735631,Cuajimalpa de Morelos,House,Private room,2,793,1,365,1,1,flexible,12,9
18932462,127998839,Alvaro Obregon,Loft,Entire home/apt,4,752,2,1125,3,2,moderate,6,8
18933119,42602773,Coyoacan,Apartment,Entire home/apt,2,792,1,1125,1,1,moderate,57,10
18933401,115506089,Cuauhtemoc,Apartment,Private room,2,1699,2,15,1,1,flexible,0,
18933998,34439764,Cuauhtemoc,Apartment,Entire home/apt,5,880,2,320,2,3,moderate,79,10
18935202,83737697,Benito Juarez,Apartment,Private room,2,204,3,1125,1,1,flexible,2,10
18939879,132030147,Benito Juarez,House,Entire home/apt,1,338,1,10,0,1,flexible,0,
18942653,102782157,Miguel Hidalgo,Apartment,Private room,2,792,2,1125,1,1,moderate,1,10
18945872,132083092,Coyoacan,Apartment,Private room,2,2003,1,90,1,2,moderate,18,10
18946236,132085516,Miguel Hidalgo,Apartment,Entire home/apt,2,1789,1,1125,1,1,moderate,90,10
18946355,24470199,Miguel Hidalgo,House,Private room,2,340,1,30,1,1,flexible,7,10
18946594,24470199,Miguel Hidalgo,House,Private room,2,408,2,30,1,1,flexible,10,10
18949034,24470199,Miguel Hidalgo,House,Private room,3,453,2,30,1,2,moderate,6,9
18949366,101619605,Cuauhtemoc,Apartment,Entire home/apt,2,747,3,1125,1,2,strict_14_with_grace_period,70,9
18959013,3405747,Cuauhtemoc,Apartment,Entire home/apt,4,1246,2,1125,2,2,strict_14_with_grace_period,96,10
18959820,81527513,Cuauhtemoc,Apartment,Private room,2,338,1,15,1,1,flexible,47,10
18961124,3141022,Coyoacan,House,Private room,2,798,2,1125,1,1,flexible,55,10
18961660,132223425,Tlalpan,Cabin,Entire home/apt,10,695,1,30,1,4,moderate,33,9
18961868,111011940,Cuauhtemoc,Apartment,Shared room,1,340,1,1125,1,1,flexible,1,10
18962026,132234522,Miguel Hidalgo,Bed and breakfast,Private room,2,857,3,1125,1,1,flexible,15,9
18962160,132126611,Venustiano Carranza,Apartment,Entire home/apt,2,498,1,15,1,1,flexible,19,10
18963449,128011770,Miguel Hidalgo,Apartment,Entire home/apt,7,2944,2,1125,3,4,strict_14_with_grace_period,53,10
18969090,7323488,Cuauhtemoc,Apartment,Entire home/apt,7,1367,2,1125,3,5,moderate,48,10
18969273,130596402,Benito Juarez,Apartment,Private room,3,317,1,1125,1,2,flexible,4,6
18969492,7323488,Cuauhtemoc,Apartment,Private room,3,476,1,1125,1,2,flexible,62,10
18973335,38394986,Benito Juarez,Apartment,Private room,2,272,2,1125,1,1,moderate,6,10
18973516,17095615,Cuauhtemoc,Apartment,Entire home/apt,4,1698,5,19,2,2,strict_14_with_grace_period,0,
18974636,97632900,Benito Juarez,Apartment,Private room,1,592,1,1125,1,1,flexible,3,10
18977757,49735631,Cuajimalpa de Morelos,House,Private room,2,928,1,1125,1,1,flexible,7,10
18978897,52604575,Miguel Hidalgo,Apartment,Entire home/apt,4,1562,3,200,2,2,flexible,4,10
18980452,132185042,Benito Juarez,Apartment,Private room,1,181,3,180,1,1,moderate,0,
18996261,13410440,Cuauhtemoc,Apartment,Private room,2,317,1,1125,1,1,moderate,2,10
18996938,13410440,Cuauhtemoc,Apartment,Private room,2,453,1,1125,1,1,moderate,2,6
18998497,13410440,Cuauhtemoc,Apartment,Private room,3,408,1,1125,1,2,moderate,0,
18998592,63500624,Miguel Hidalgo,Apartment,Entire home/apt,5,1540,1,1125,3,4,strict_14_with_grace_period,91,10
18999214,29114265,Miguel Hidalgo,Apartment,Entire home/apt,4,1992,5,1125,2,2,strict_14_with_grace_period,63,10
19010717,8602696,Cuauhtemoc,Apartment,Entire home/apt,7,7813,3,1125,3,7,moderate,104,10
19012836,132649236,Benito Juarez,Apartment,Private room,1,385,1,1125,1,1,flexible,0,
19014279,130450336,Cuauhtemoc,Apartment,Entire home/apt,4,1947,2,1125,2,2,flexible,14,10
19014694,88365870,Cuauhtemoc,Apartment,Entire home/apt,11,2038,1,1125,3,6,moderate,126,9
19014879,102799496,Miguel Hidalgo,Apartment,Entire home/apt,3,1223,1,1125,1,2,moderate,1,
19015777,2454734,Cuauhtemoc,Apartment,Entire home/apt,4,861,2,1125,2,3,flexible,6,9
19016227,128415898,Venustiano Carranza,Condominium,Private room,1,340,3,1125,1,1,flexible,0,
19017430,120402448,Miguel Hidalgo,Apartment,Entire home/apt,4,996,2,1125,1,2,flexible,22,10
19017605,16958286,Miguel Hidalgo,Apartment,Entire home/apt,4,906,2,1125,2,2,strict_14_with_grace_period,112,10
19019622,85980400,Cuauhtemoc,Apartment,Private room,1,385,1,3,1,1,flexible,0,
19021059,9557015,Cuauhtemoc,Apartment,Entire home/apt,4,2345,2,180,2,2,moderate,82,10
19021926,131964548,Alvaro Obregon,Apartment,Private room,2,611,2,30,2,1,flexible,0,
19032126,4715943,Miguel Hidalgo,Serviced apartment,Entire home/apt,2,1125,2,1125,1,1,moderate,20,10
19033203,132820223,Cuauhtemoc,Apartment,Private room,1,5503,1,1125,1,1,flexible,0,
19036777,127998839,Alvaro Obregon,Apartment,Entire home/apt,4,661,2,1125,2,3,flexible,12,10
19036955,47451924,Miguel Hidalgo,Apartment,Entire home/apt,7,974,7,1125,2,4,moderate,0,
19037182,47398486,Iztacalco,Apartment,Shared room,2,204,2,1125,1,2,flexible,11,10
19037992,115969851,Coyoacan,House,Private room,2,996,2,30,1,1,strict_14_with_grace_period,3,10
19038111,115969851,Coyoacan,House,Private room,2,792,2,30,3,2,strict_14_with_grace_period,11,10
19038180,115969851,Coyoacan,House,Entire home/apt,7,3192,2,30,3,5,strict_14_with_grace_period,72,10
19038579,91517663,Benito Juarez,Apartment,Entire home/apt,2,770,1,365,1,1,moderate,1,10
19040453,83408110,Cuauhtemoc,Apartment,Entire home/apt,4,906,1,1125,1,2,flexible,20,9
19044590,110468226,La Magdalena Contreras,Loft,Entire home/apt,2,878,2,1125,1,1,flexible,6,10
19049435,30556460,Cuajimalpa de Morelos,House,Private room,2,319,5,1125,1,1,flexible,15,10
19049599,12910391,Cuauhtemoc,House,Private room,2,1495,2,90,1,1,flexible,52,10
19050494,1470064,Miguel Hidalgo,Apartment,Entire home/apt,4,1495,5,1125,1,1,moderate,0,
19051496,46045192,Benito Juarez,Apartment,Entire home/apt,6,1404,2,1125,2,4,moderate,82,10
19052943,11130023,Miguel Hidalgo,Apartment,Entire home/apt,6,2241,1,190,3,3,flexible,21,10
19053890,76421517,Cuajimalpa de Morelos,Guesthouse,Private room,2,793,2,1125,1,2,flexible,4,10
19054090,76421517,Cuajimalpa de Morelos,Guesthouse,Private room,2,793,2,1125,1,2,flexible,5,10
19054142,76421517,Cuajimalpa de Morelos,Guesthouse,Private room,2,702,2,1125,1,2,flexible,4,10
19056414,133023111,Alvaro Obregon,House,Private room,2,360,1,1125,2,2,flexible,28,10
19065158,133091390,Cuauhtemoc,Apartment,Private room,1,408,2,1125,1,1,moderate,1,
19068601,3642012,Alvaro Obregon,House,Private room,1,251,90,99,1,1,moderate,0,
19069316,133125381,Cuauhtemoc,Apartment,Entire home/apt,3,679,3,60,2,2,moderate,90,10
19071170,20923097,Alvaro Obregon,Guesthouse,Entire home/apt,6,974,7,1125,3,3,moderate,9,9
19071956,105880627,Cuauhtemoc,Serviced apartment,Private room,2,1083,1,90,1,1,flexible,36,10
19072232,76421517,Cuajimalpa de Morelos,Guesthouse,Private room,8,4529,1,1125,4,1,flexible,2,10
19073859,37630869,Benito Juarez,Guest suite,Private room,1,272,3,1125,1,1,flexible,19,10
19083058,133256797,Iztapalapa,Apartment,Private room,4,316,1,30,2,1,flexible,0,
19093573,1140427,Cuauhtemoc,Apartment,Entire home/apt,4,1472,2,1125,2,2,flexible,155,10
19094322,67995069,Benito Juarez,Apartment,Entire home/apt,4,729,3,1125,2,3,strict_14_with_grace_period,63,10
19095558,6015350,Miguel Hidalgo,Apartment,Entire home/apt,5,1291,2,365,2,4,strict_14_with_grace_period,35,10
19099096,133420488,Tlalpan,Apartment,Private room,2,1035,1,1125,1,1,flexible,0,
19101406,46243750,Benito Juarez,Apartment,Entire home/apt,4,1200,5,25,2,2,flexible,4,10
19103827,9557015,Cuauhtemoc,Apartment,Entire home/apt,6,2300,2,180,2,2,moderate,59,10
19106691,18473469,Cuauhtemoc,Apartment,Entire home/apt,12,2241,6,1125,6,6,strict_14_with_grace_period,52,10
19109580,15052513,Cuauhtemoc,Apartment,Entire home/apt,4,1359,1,1125,2,3,moderate,91,10
19114274,49443805,Benito Juarez,Apartment,Private room,1,272,2,15,1,1,flexible,17,10
19117845,110381556,Iztacalco,House,Private room,2,248,3,1125,1,1,strict_14_with_grace_period,6,9
19118033,99408900,Benito Juarez,Apartment,Private room,1,272,1,7,1,1,flexible,1,10
19119049,361974,Cuauhtemoc,Apartment,Entire home/apt,2,770,2,1125,1,1,moderate,33,10
19120915,16683840,Cuauhtemoc,Apartment,Entire home/apt,3,706,14,100,1,1,moderate,9,10
19121563,102581494,Miguel Hidalgo,Apartment,Private room,1,408,1,30,1,1,flexible,7,10
19130663,118592355,Coyoacan,Apartment,Private room,1,226,1,40,1,1,flexible,18,10
19134175,133734443,Cuajimalpa de Morelos,Apartment,Entire home/apt,3,657,3,1125,1,1,flexible,0,
19134439,70510719,Cuajimalpa de Morelos,Apartment,Entire home/apt,1,906,5,28,1,1,strict_14_with_grace_period,6,10
19135668,120909923,Coyoacan,Apartment,Private room,1,113,180,1125,1,1,flexible,0,
19139715,131687647,Benito Juarez,Apartment,Private room,6,5004,1,1125,3,3,strict_14_with_grace_period,1,
19141277,55006443,Cuauhtemoc,Apartment,Entire home/apt,4,1132,1,1125,1,1,moderate,19,10
19141760,49735631,Cuajimalpa de Morelos,House,Private room,4,883,1,1125,1,2,flexible,17,10
19142507,7323488,Cuauhtemoc,Apartment,Private room,4,498,1,1125,1,3,flexible,109,10
19143445,9557015,Cuauhtemoc,Apartment,Entire home/apt,4,1495,2,180,2,3,moderate,34,10
19144158,19975112,Benito Juarez,House,Entire home/apt,2,657,2,1125,1,2,moderate,38,10
19144544,129321134,Coyoacan,Apartment,Entire home/apt,6,1177,2,1125,2,3,flexible,50,10
19156222,42700394,Cuauhtemoc,Apartment,Entire home/apt,2,1155,1,1125,1,1,strict_14_with_grace_period,45,10
19156677,120232487,Miguel Hidalgo,Apartment,Entire home/apt,2,1208,1,1125,1,1,flexible,82,10
19156814,122054854,Miguel Hidalgo,Apartment,Entire home/apt,2,810,1,60,1,1,flexible,12,9
19157796,7653951,Cuauhtemoc,Condominium,Entire home/apt,4,1698,2,30,1,2,moderate,133,10
19158204,55006443,Cuauhtemoc,Apartment,Entire home/apt,4,1132,1,1125,1,2,flexible,94,10
19159990,81535799,Cuauhtemoc,Apartment,Entire home/apt,5,861,2,100,2,2,moderate,150,10
19160175,65974808,Miguel Hidalgo,Loft,Entire home/apt,3,661,1,1125,1,2,moderate,272,10
19161789,119446402,Gustavo A. Madero,Townhouse,Private room,2,294,1,1125,1,1,moderate,5,10
19161838,19528470,Cuauhtemoc,Apartment,Private room,2,408,1,1125,1,1,flexible,2,9
19162204,133996323,Benito Juarez,Apartment,Private room,1,702,3,60,1,1,flexible,4,7
19162313,46881528,Cuauhtemoc,Apartment,Private room,1,996,2,1125,1,1,flexible,0,
19173537,60265317,Miguel Hidalgo,Apartment,Entire home/apt,8,1699,1,1125,3,5,moderate,30,10
19174690,134099022,Coyoacan,House,Private room,4,11320,1,1125,1,4,flexible,0,
19175148,134103185,Miguel Hidalgo,Apartment,Private room,1,204,1,2,1,1,flexible,1,4
19176479,122054854,Miguel Hidalgo,Apartment,Private room,6,1494,1,90,3,3,flexible,6,10
19176531,38240994,Cuauhtemoc,Condominium,Entire home/apt,8,7994,2,1125,4,4,strict_14_with_grace_period,73,10
19178135,61403135,Tlalpan,Apartment,Entire home/apt,5,5007,30,366,3,3,flexible,0,
19178972,134135717,Cuauhtemoc,Apartment,Private room,1,272,15,210,1,1,flexible,0,
19181643,3675629,Miguel Hidalgo,Loft,Entire home/apt,3,1358,2,365,1,1,moderate,37,10
19182420,26393917,Cuauhtemoc,Apartment,Private room,2,857,1,1125,1,1,flexible,0,
19182859,132040108,Cuauhtemoc,House,Private room,3,589,2,30,1,2,flexible,1,10
19186334,133817959,Cuauhtemoc,Apartment,Entire home/apt,4,2242,1,1125,2,2,strict_14_with_grace_period,96,10
19195107,134275953,Benito Juarez,Apartment,Private room,2,589,1,1125,1,1,flexible,0,
19196391,46570815,Cuauhtemoc,Loft,Entire home/apt,4,906,2,179,2,1,flexible,104,10
19197084,21136483,Coyoacan,House,Private room,2,340,1,30,1,1,moderate,49,10
19197330,134296791,Coyoacan,Guesthouse,Shared room,8,270,30,365,1,7,flexible,1,10
19197944,45728719,Cuauhtemoc,Loft,Entire home/apt,2,1495,3,1125,1,2,flexible,25,10
19198443,134310668,Coyoacan,House,Shared room,15,251,30,360,1,12,flexible,1,2
19198659,124644932,La Magdalena Contreras,Loft,Entire home/apt,3,1058,2,1125,1,0,moderate,12,9
19198996,86590317,Cuajimalpa de Morelos,Apartment,Private room,2,501,1,1125,1,2,flexible,4,10
19200231,85698560,Cuauhtemoc,Apartment,Entire home/apt,4,906,3,30,2,3,strict_14_with_grace_period,42,10
19204042,133125381,Cuauhtemoc,Apartment,Entire home/apt,3,498,3,60,2,2,strict_14_with_grace_period,94,10
19206178,1756016,Cuauhtemoc,Apartment,Entire home/apt,3,1608,1,1125,1,2,moderate,36,10
19208849,108475636,Cuajimalpa de Morelos,House,Private room,1,408,1,1125,1,1,flexible,15,9
19209741,134418771,Coyoacan,Apartment,Private room,2,408,6,1125,1,1,flexible,7,10
19211180,28961716,Coyoacan,Apartment,Private room,2,408,2,1125,1,1,moderate,55,10
19212637,16551488,Coyoacan,Apartment,Entire home/apt,4,1494,1,1125,2,3,flexible,8,10
19213525,45214396,Coyoacan,Apartment,Shared room,1,204,30,190,1,1,flexible,1,
19217175,128464250,Cuauhtemoc,Apartment,Entire home/apt,2,770,3,1125,1,1,flexible,6,9
19221389,29642001,Alvaro Obregon,Apartment,Entire home/apt,7,2333,2,60,3,5,strict_14_with_grace_period,0,
19222311,130123505,Cuauhtemoc,Apartment,Private room,1,9081,1,30,1,1,flexible,0,
19224145,52251653,Cuauhtemoc,Apartment,Private room,1,249,160,1125,1,2,flexible,7,10
19225762,4821807,Cuauhtemoc,Apartment,Entire home/apt,5,1178,3,1125,2,2,strict_14_with_grace_period,110,9
19227010,132535773,Cuauhtemoc,Apartment,Private room,2,589,1,1125,1,1,flexible,22,10
19227281,69179415,Cuajimalpa de Morelos,Apartment,Private room,2,589,3,1125,1,2,flexible,0,
19227444,35719716,Cuauhtemoc,Apartment,Entire home/apt,3,1246,2,1125,1,2,strict_14_with_grace_period,90,9
19230305,29469053,Cuauhtemoc,Apartment,Private room,6,1291,7,1125,3,1,flexible,0,
19244044,23857843,Miguel Hidalgo,Apartment,Entire home/apt,5,3759,2,1125,3,4,strict_14_with_grace_period,94,10
19246801,134762957,Coyoacan,House,Private room,2,203,1,30,1,2,flexible,93,10
19247387,64709036,Miguel Hidalgo,Apartment,Entire home/apt,8,9035,1,1125,4,4,moderate,2,10
19248250,64353340,Tlalpan,House,Private room,2,225,1,1125,1,1,moderate,9,9
19248737,134781795,Cuauhtemoc,Apartment,Private room,1,204,3,1125,1,1,flexible,0,
19250704,134801873,Cuajimalpa de Morelos,Other,Entire home/apt,4,1504,5,1125,1,2,flexible,8,10
19251614,134812654,Benito Juarez,House,Entire home/apt,2,543,1,25,1,2,strict_14_with_grace_period,191,10
19253597,129270581,Cuauhtemoc,Apartment,Entire home/apt,2,1699,2,1125,1,1,flexible,51,10
19262810,91356852,Cuajimalpa de Morelos,Apartment,Entire home/apt,2,906,5,365,1,1,flexible,0,
19264453,48690079,Cuauhtemoc,Guest suite,Private room,2,543,3,1125,1,0,moderate,119,10
19265406,97794441,Cuauhtemoc,House,Private room,4,340,9,1125,1,2,strict_14_with_grace_period,204,10
19265486,70255780,Cuauhtemoc,Loft,Entire home/apt,5,1902,2,1125,2,2,moderate,19,10
19267780,91356852,Cuauhtemoc,Apartment,Private room,2,793,30,365,1,1,flexible,0,
19268367,26789625,Cuauhtemoc,Apartment,Private room,2,340,3,1125,1,1,moderate,0,
19271437,115419623,Coyoacan,Apartment,Entire home/apt,2,566,3,10,1,1,moderate,80,10
19271546,117036031,Miguel Hidalgo,Apartment,Entire home/apt,6,4709,1,1125,3,5,strict_14_with_grace_period,64,10
19272056,134953953,Cuauhtemoc,Apartment,Entire home/apt,6,8842,1,1125,2,3,flexible,40,10
19273272,9470995,Cuauhtemoc,Apartment,Private room,1,430,3,1125,1,1,strict_14_with_grace_period,24,9
19274828,5755202,Miguel Hidalgo,Apartment,Entire home/apt,5,2649,3,1125,2,3,moderate,53,10
19277508,68398666,Cuauhtemoc,Apartment,Private room,2,793,2,5,1,1,flexible,0,
19283350,39018009,Cuauhtemoc,Apartment,Private room,1,433,3,1125,1,1,strict_14_with_grace_period,1,10
19290021,135077692,Coyoacan,House,Private room,2,204,1,365,1,1,moderate,11,9
19291092,134919235,Benito Juarez,Apartment,Private room,2,498,1,1125,1,1,moderate,9,9
19293613,48747453,Miguel Hidalgo,Apartment,Entire home/apt,6,951,1,1125,2,5,flexible,55,10
