CD_A,PER,ENT,CON,V_SEL,N_HOG,N_REN,EST_DIS,UPM_DIS,PAR,SEX,EDA,NAC_DIA,NAC_MES,NAC_ANIO,NIV,GRA,A_ESC,ELEGIDO,REELE,R_DEF,FACTOR,FAC18
36,1117,22,40132,3,1,"	02","	080","	00429",2,2,23,12,2,1994,3,3,,1,,"	01",2271,4542
36,1117,22,40132,3,1,"	01","	080","	00429",1,1,24,13,10,1993,2,6,,,1,"	01",2271,
36,1117,22,40132,2,1,"	04","	080","	00429",3,2,9,28,12,2007,2,2,,,,"	01",2271,
36,1117,22,40132,2,1,"	03","	080","	00429",3,2,16,27,8,2001,3,2,,,,"	01",2271,
36,1117,22,40132,2,1,"	02","	080","	00429",2,2,36,10,6,1981,3,3,,1,,"	01",2271,4542
36,1117,22,40132,2,1,"	01","	080","	00429",1,1,36,3,11,1981,2,6,,,,"	01",2271,
36,1117,22,40132,5,1,"	03","	080","	00429",3,2,23,14,2,1994,7,5,3,,,"	01",2271,
36,1117,22,40132,4,1,"	03","	080","	00429",3,2,14,2,12,2002,3,2,,,,"	01",2271,
36,1117,22,40132,5,1,"	01","	080","	00429",1,2,55,23,8,1962,6,2,2,1,,"	01",2271,6813
36,1117,22,40132,1,1,"	04","	080","	00429",3,1,2,16,5,2015,,,,,,"	01",2271,
36,1117,22,40132,1,1,"	03","	080","	00429",3,1,7,22,9,2010,2,1,,,,"	01",2271,
36,1117,22,40132,1,1,"	02","	080","	00429",2,2,24,26,10,1993,3,3,,1,,"	01",2271,4542
36,1117,22,40132,1,1,"	01","	080","	00429",1,1,26,17,2,1991,2,6,,,,"	01",2271,
36,1117,22,40132,5,1,"	02","	080","	00429",3,1,26,17,4,1991,6,2,3,,,"	01",2271,
36,1117,22,40148,5,1,"	04","	080","	00430",4,1,27,25,4,1990,3,3,,,,"	01",2981,
36,1117,22,40148,5,1,"	05","	080","	00430",3,2,23,20,3,1994,4,3,,1,,"	01",2981,17886
36,1117,22,40148,5,1,"	06","	080","	00430",3,2,22,9,5,1995,3,3,,,,"	01",2981,
36,1117,22,40148,2,1,"	01","	080","	00430",1,1,80,12,12,1936,,,,,1,"	01",2981,
36,1117,22,40148,2,1,"	02","	080","	00430",2,2,74,29,3,1943,,,,1,,"	01",2981,5962
36,1117,22,40148,3,1,"	01","	080","	00430",1,1,23,31,8,1994,3,3,,,,"	01",2981,
36,1117,22,40148,3,1,"	02","	080","	00430",2,2,20,30,12,1996,3,3,,1,,"	01",2981,5962
36,1117,22,40148,3,1,"	03","	080","	00430",3,1,5,27,9,2012,1,2,,,,"	01",2981,
36,1117,22,40148,3,1,"	04","	080","	00430",3,2,,18,8,2017,,,,,,"	01",2981,
36,1117,22,40148,4,1,"	01","	080","	00430",1,1,81,26,4,1936,,,,,,"	01",2981,
36,1117,22,40148,4,1,"	02","	080","	00430",3,1,40,6,2,1977,3,3,,1,,"	01",2981,11924
36,1117,22,40148,1,1,"	01","	080","	00430",1,1,44,9,9,1973,7,4,3,,,"	01",2981,
36,1117,22,40148,1,1,"	02","	080","	00430",2,2,45,28,10,1972,2,6,,,,"	01",2981,
36,1117,22,40148,1,1,"	03","	080","	00430",3,1,26,8,4,1991,7,4,3,1,,"	01",2981,14905
36,1117,22,40148,1,1,"	04","	080","	00430",3,2,22,23,1,1995,7,3,3,,,"	01",2981,
36,1117,22,40148,1,1,"	05","	080","	00430",3,2,18,3,2,1999,4,3,,,,"	01",2981,
36,1117,22,40148,4,1,"	03","	080","	00430",3,2,48,15,8,1969,2,6,,,,"	01",2981,
36,1117,22,40148,4,1,"	04","	080","	00430",3,2,39,15,10,1978,3,3,,,,"	01",2981,
36,1117,22,40148,5,1,"	01","	080","	00430",1,1,49,14,5,1968,3,3,,,,"	01",2981,
36,1117,22,40148,5,1,"	02","	080","	00430",7,2,46,12,4,1971,3,3,,,,"	01",2981,
36,1117,22,40148,5,1,"	03","	080","	00430",7,2,24,20,6,1993,4,3,,,,"	01",2981,
36,1117,22,40182,2,1,"	02","	081","	00431",3,1,19,15,2,1998,4,1,,1,,"	01",2849,5698
36,1117,22,40182,4,1,"	02","	081","	00431",3,1,15,8,7,2002,3,3,,,,"	01",2849,
36,1117,22,40182,2,1,"	04","	081","	00431",3,1,8,9,11,2009,2,2,,,,"	01",2849,
36,1117,22,40182,5,1,"	01","	081","	00431",1,2,44,27,2,1973,9,2,4,,,"	01",2849,
36,1117,22,40182,5,1,"	02","	081","	00431",2,1,45,15,3,1972,4,3,,1,,"	01",2849,11396
36,1117,22,40182,5,1,"	03","	081","	00431",6,1,21,27,5,1996,7,3,3,,,"	01",2849,
36,1117,22,40182,5,1,"	04","	081","	00431",6,1,21,17,7,1996,7,3,3,,,"	01",2849,
36,1117,22,40182,1,1,"	01","	081","	00431",1,1,65,18,6,1952,4,3,,,,"	01",2849,
36,1117,22,40182,1,1,"	02","	081","	00431",2,2,59,7,5,1958,3,3,,1,,"	01",2849,11396
36,1117,22,40182,1,1,"	03","	081","	00431",3,2,34,11,12,1982,4,3,,,,"	01",2849,
36,1117,22,40182,1,1,"	04","	081","	00431",3,1,21,16,6,1996,3,3,,,,"	01",2849,
36,1117,22,40182,1,1,"	05","	081","	00431",4,1,17,20,9,2000,4,1,,,,"	01",2849,
36,1117,22,40182,1,1,"	06","	081","	00431",4,1,9,18,6,2008,2,3,,,,"	01",2849,
36,1117,22,40182,1,1,"	07","	081","	00431",4,2,8,22,7,2009,2,2,,,,"	01",2849,
36,1117,22,40182,2,1,"	01","	081","	00431",1,2,36,8,12,1980,4,3,,,,"	01",2849,
36,1117,22,40182,3,1,"	01","	081","	00431",1,1,49,2,3,1968,3,3,,,,"	01",2849,
36,1117,22,40182,3,1,"	02","	081","	00431",2,2,45,27,7,1972,2,6,,1,,"	01",2849,5698
36,1117,22,40182,3,1,"	03","	081","	00431",4,2,16,2,3,2001,3,3,,,,"	01",2849,
36,1117,22,40182,4,1,"	01","	081","	00431",1,2,49,26,3,1968,4,3,,1,,"	01",2849,2849
36,1117,22,40182,2,1,"	03","	081","	00431",3,2,15,17,5,2002,3,3,,,,"	01",2849,
36,1117,22,40263,5,1,"	07","	080","	00432",4,1,7,30,5,2010,2,1,,,,"	01",2933,
36,1117,22,40263,1,1,"	06","	080","	00432",3,2,7,1,11,2010,2,1,,,,"	01",2933,
36,1117,22,40263,1,1,"	05","	080","	00432",3,2,9,18,8,2008,2,3,,,,"	01",2933,
36,1117,22,40263,1,1,"	04","	080","	00432",3,1,15,1,8,2002,4,1,,,,"	01",2933,
36,1117,22,40263,1,1,"	03","	080","	00432",3,2,19,2,12,1997,4,2,,,,"	01",2933,
36,1117,22,40263,1,1,"	02","	080","	00432",2,2,41,31,1,1976,4,3,,,,"	01",2933,
36,1117,22,40263,4,1,"	07","	080","	00432",4,1,1,18,8,2016,,,,,,"	01",2933,
36,1117,22,40263,2,1,"	01","	080","	00432",1,1,40,9,4,1977,3,2,,1,,"	01",2933,5866
36,1117,22,40263,2,1,"	02","	080","	00432",2,2,40,27,4,1977,3,2,,,,"	01",2933,
36,1117,22,40263,2,1,"	03","	080","	00432",3,2,15,8,1,2002,3,3,,,,"	01",2933,
36,1117,22,40263,5,1,"	01","	080","	00432",1,2,52,2,7,1965,,,,,,"	01",2933,
36,1117,22,40263,5,1,"	02","	080","	00432",3,2,25,26,5,1992,3,1,,1,,"	01",2933,14665
36,1117,22,40263,5,1,"	03","	080","	00432",4,1,21,3,10,1996,4,3,,,,"	01",2933,
36,1117,22,40263,5,1,"	04","	080","	00432",3,2,24,15,5,1993,3,3,,,,"	01",2933,
36,1117,22,40263,5,1,"	05","	080","	00432",3,2,21,28,2,1996,1,3,,,,"	01",2933,
36,1117,22,40263,5,1,"	06","	080","	00432",4,1,9,12,11,2008,2,3,,,,"	01",2933,
36,1117,22,40263,1,1,"	01","	080","	00432",1,1,40,4,4,1977,4,3,,1,,"	01",2933,8799
36,1117,22,40263,5,1,"	08","	080","	00432",4,2,1,27,1,2016,,,,,,"	01",2933,
36,1117,22,40263,3,1,"	01","	080","	00432",1,2,54,15,1,1963,3,3,,1,,"	01",2933,2933
36,1117,22,40263,4,1,"	01","	080","	00432",1,1,51,24,8,1966,2,2,,,,"	01",2933,
36,1117,22,40263,4,1,"	02","	080","	00432",2,2,48,9,3,1969,6,2,2,,,"	01",2933,
36,1117,22,40263,4,1,"	03","	080","	00432",3,2,16,5,4,2001,4,1,,,,"	01",2933,
36,1117,22,40263,4,1,"	04","	080","	00432",3,1,30,16,4,1987,3,3,,1,,"	01",2933,14665
36,1117,22,40263,4,1,"	05","	080","	00432",3,1,23,7,6,1994,3,2,,,,"	01",2933,
36,1117,22,40263,4,1,"	06","	080","	00432",4,2,30,3,3,1987,2,6,,,,"	01",2933,
36,1117,22,40283,1,1,"	01","	082","	00433",1,2,45,14,7,1972,4,3,,1,,"	01",6485,6485
36,1117,22,40283,4,1,"	05","	082","	00433",4,1,3,10,8,2014,,,,,,"	01",6485,
36,1117,22,40283,4,1,"	04","	082","	00433",3,2,22,31,10,1995,7,2,3,1,,"	01",6485,25940
36,1117,22,40283,4,1,"	03","	082","	00433",3,1,23,14,3,1994,7,2,3,,,"	01",6485,
36,1117,22,40283,4,1,"	02","	082","	00433",2,2,55,23,9,1962,4,3,,,,"	01",6485,
36,1117,22,40283,4,1,"	01","	082","	00433",1,1,53,11,7,1964,4,3,,,,"	01",6485,
36,1117,22,40283,2,1,"	01","	082","	00433",1,1,69,10,2,1948,7,4,3,1,,"	01",6485,6485
36,1117,22,40313,3,1,"	01","	080","	00434",1,2,50,3,4,1967,2,6,,,,"	01",2330,
36,1117,22,40313,4,1,"	02","	080","	00434",2,2,30,5,6,1987,3,3,,,,"	01",2330,
36,1117,22,40313,4,1,"	01","	080","	00434",1,1,24,21,6,1993,,,,1,,"	01",2330,4660
36,1117,22,40313,1,1,"	02","	080","	00434",3,2,17,10,4,2000,4,2,,,,"	01",2330,
36,1117,22,40313,1,1,"	01","	080","	00434",1,2,56,23,12,1960,8,4,4,1,,"	01",2330,2330
36,1117,22,40313,5,1,"	03","	080","	00434",3,2,32,10,2,1985,7,8,3,,,"	01",2330,
36,1117,22,40313,5,1,"	02","	080","	00434",3,2,37,13,11,1980,7,4,3,1,,"	01",2330,9320
36,1117,22,40313,5,1,"	01","	080","	00434",1,1,63,16,1,1954,7,3,3,,,"	01",2330,
36,1117,22,40313,3,1,"	03","	080","	00434",3,2,20,26,1,1997,2,6,,1,,"	01",2330,6990
36,1117,22,40313,3,1,"	02","	080","	00434",3,2,23,25,5,1994,7,3,3,,,"	01",2330,
36,1117,22,40313,4,1,"	03","	080","	00434",3,1,3,11,9,2014,,,,,,"	01",2330,
36,1117,22,40313,5,1,"	04","	080","	00434",4,1,32,26,7,1985,7,8,3,,,"	01",2330,
36,1117,22,40317,2,1,"	03","	080","	00435",3,2,43,27,10,1974,6,3,2,1,,"	01",2904,14520
36,1117,22,40317,1,1,"	05","	080","	00435",4,1,5,6,2,2012,1,2,,,,"	01",2904,
36,1117,22,40317,5,1,"	01","	080","	00435",1,2,56,10,2,1961,3,3,,1,,"	01",2904,2904
36,1117,22,40317,4,1,"	02","	080","	00435",4,2,24,16,5,1993,4,3,,,,"	01",2904,
36,1117,22,40317,4,1,"	01","	080","	00435",1,1,25,16,10,1992,7,4,3,1,,"	01",2904,5808
36,1117,22,40317,3,1,"	01","	080","	00435",1,1,66,25,7,1951,3,3,,1,,"	01",2904,2904
36,1117,22,40317,2,1,"	07","	080","	00435",4,1,1,17,7,2016,,,,,,"	01",2904,
36,1117,22,40317,2,1,"	06","	080","	00435",4,1,8,16,12,2008,2,1,,,,"	01",2904,
36,1117,22,40317,2,1,"	05","	080","	00435",4,2,20,20,12,1996,3,3,,,,"	01",2904,
36,1117,22,40317,2,1,"	01","	080","	00435",1,1,73,8,5,1944,2,3,,,,"	01",2904,
36,1117,22,40317,2,1,"	04","	080","	00435",4,1,42,14,11,1974,4,2,,,,"	01",2904,
36,1117,22,40317,1,1,"	04","	080","	00435",4,1,3,3,4,2014,,,,,,"	01",2904,
36,1117,22,40317,1,1,"	03","	080","	00435",3,2,46,4,10,1971,4,3,,,,"	01",2904,
36,1117,22,40317,1,1,"	02","	080","	00435",2,2,66,4,6,1951,2,6,,,,"	01",2904,
36,1117,22,40317,1,1,"	01","	080","	00435",1,1,71,3,11,1946,2,6,,1,,"	01",2904,8712
36,1117,22,40317,2,1,"	02","	080","	00435",2,2,60,8,6,1957,6,1,2,,,"	01",2904,
36,1117,22,40323,2,1,"	02","	082","	00436",2,2,31,23,7,1986,7,4,3,1,,"	01",4274,8548
36,1117,22,40323,2,1,"	01","	082","	00436",1,1,36,18,2,1981,7,4,3,,,"	01",4274,
36,1117,22,40323,1,1,"	04","	082","	00436",3,2,15,12,8,2002,3,1,,,,"	01",4274,
36,1117,22,40323,1,1,"	03","	082","	00436",3,1,16,10,11,2001,3,3,,,,"	01",4274,
36,1117,22,40323,1,1,"	02","	082","	00436",2,2,42,10,11,1975,7,4,3,1,,"	01",4274,8548
36,1117,22,40323,1,1,"	01","	082","	00436",1,1,52,8,8,1965,4,3,,,,"	01",4274,
36,1117,22,40323,4,1,"	01","	082","	00436",1,2,74,17,11,1942,7,5,3,1,,"	01",4274,8548
36,1117,22,40323,4,1,"	02","	082","	00436",3,2,40,29,6,1977,7,4,3,,,"	01",4274,
36,1117,22,40323,5,1,"	01","	082","	00436",1,2,44,24,7,1973,4,3,,1,,"	01",4274,4274
36,1117,22,40323,5,1,"	03","	082","	00436",3,1,6,4,8,2011,1,3,,,,"	01",4274,
36,1117,22,40323,5,1,"	02","	082","	00436",3,2,15,1,9,2002,3,3,,,,"	01",4274,
36,1117,22,40347,4,1,"	02","	081","	00437",4,2,21,28,12,1995,7,1,3,,,"	01",2502,
36,1117,22,40347,4,1,"	03","	081","	00437",4,2,35,26,4,1982,7,4,3,1,,"	01",2502,7506
36,1117,22,40347,5,1,"	01","	081","	00437",1,1,52,21,7,1965,3,3,,1,,"	01",2502,2502
36,1117,22,40347,5,1,"	02","	081","	00437",3,1,12,4,2,2005,2,6,,,,"	01",2502,
36,1117,22,40347,5,1,"	03","	081","	00437",3,1,10,21,1,2007,2,3,,,,"	01",2502,
36,1117,22,40347,2,1,"	01","	081","	00437",1,1,80,18,1,1937,7,5,3,1,,"	01",2502,2502
36,1117,22,40347,1,1,"	03","	081","	00437",3,2,8,15,11,2009,2,2,,,,"	01",2502,
36,1117,22,40347,1,1,"	02","	081","	00437",3,2,17,30,4,2000,3,3,,,,"	01",2502,
36,1117,22,40347,1,1,"	01","	081","	00437",1,2,41,26,10,1976,3,3,,1,,"	01",2502,2502
36,1117,22,40347,3,1,"	05","	081","	00437",4,2,1,26,9,2016,,,,,,"	01",2502,
36,1117,22,40347,4,1,"	01","	081","	00437",1,2,43,27,11,1973,7,4,3,,,"	01",2502,
36,1117,22,40347,3,1,"	03","	081","	00437",3,1,34,4,12,1982,7,1,3,,,"	01",2502,
36,1117,22,40347,3,1,"	02","	081","	00437",2,2,63,26,2,1954,6,3,2,,,"	01",2502,
36,1117,22,40347,3,1,"	01","	081","	00437",1,1,62,12,3,1955,6,3,2,,,"	01",2502,
36,1117,22,40347,3,1,"	04","	081","	00437",3,2,31,25,11,1985,6,3,3,1,,"	01",2502,10008
36,1117,22,40352,3,1,"	01","	081","	00438",1,1,30,9,12,1986,3,3,,1,,"	01",2822,2822
36,1117,22,40352,1,1,"	01","	081","	00438",1,1,53,8,3,1964,3,3,,1,,"	01",2822,11288
36,1117,22,40352,1,1,"	02","	081","	00438",2,2,46,7,3,1971,3,3,,,,"	01",2822,
36,1117,22,40352,1,1,"	03","	081","	00438",3,1,22,28,8,1995,4,3,,,,"	01",2822,
36,1117,22,40352,1,1,"	04","	081","	00438",4,1,20,26,4,1997,4,3,,,,"	01",2822,
36,1117,22,40352,2,1,"	01","	081","	00438",1,1,52,20,3,1965,3,3,,,,"	01",2822,
36,1117,22,40352,2,1,"	02","	081","	00438",3,1,24,14,5,1993,7,4,3,,,"	01",2822,
36,1117,22,40352,2,1,"	03","	081","	00438",2,2,48,15,11,1968,2,6,,1,,"	01",2822,8466
36,1117,22,40352,2,1,"	04","	081","	00438",3,2,16,30,10,2001,4,1,,,,"	01",2822,
36,1117,22,40352,4,1,"	01","	081","	00438",1,1,54,12,11,1963,3,3,,1,,"	01",2822,5644
36,1117,22,40352,4,1,"	02","	081","	00438",2,2,49,18,11,1967,3,3,,,,"	01",2822,
36,1117,22,40352,4,1,"	03","	081","	00438",3,2,13,18,2,2004,3,1,,,,"	01",2822,
36,1117,22,40352,5,1,"	01","	081","	00438",1,2,58,4,5,1959,2,6,,1,,"	01",2822,8466
36,1117,22,40352,5,1,"	02","	081","	00438",4,1,28,5,4,1989,2,6,,,1,"	01",2822,
36,1117,22,40352,5,1,"	03","	081","	00438",3,2,29,5,5,1988,4,2,,,,"	01",2822,
36,1117,22,40352,5,1,"	04","	081","	00438",4,2,4,13,2,2013,,,,,,"	01",2822,
36,1117,22,40352,5,1,"	05","	081","	00438",4,1,6,2,1,2011,1,3,,,,"	01",2822,
41,1117,23,40033,1,1,"	03","	090","	00439",3,1,18,13,7,1999,4,3,,,,"	01",2742,
41,1117,23,40033,1,1,"	01","	090","	00439",1,2,41,25,7,1976,4,3,,1,,"	01",2742,8226
41,1117,23,40033,4,1,"	04","	090","	00439",3,2,16,8,11,2001,4,1,,,,"	01",2742,
41,1117,23,40033,4,1,"	03","	090","	00439",3,2,19,27,11,1997,7,2,3,,,"	01",2742,
41,1117,23,40033,4,1,"	02","	090","	00439",2,1,56,8,11,1961,3,3,,,,"	01",2742,
41,1117,23,40033,4,1,"	01","	090","	00439",1,2,50,8,11,1967,3,3,,1,,"	01",2742,8226
41,1117,23,40033,3,1,"	02","	090","	00439",2,2,53,2,1,1964,3,3,,1,,"	01",2742,5484
41,1117,23,40033,3,1,"	01","	090","	00439",1,1,75,27,11,1941,3,3,,,,"	01",2742,
41,1117,23,40033,2,1,"	01","	090","	00439",1,1,28,10,11,1989,3,3,,1,,"	01",2742,2742
41,1117,23,40033,5,1,"	02","	090","	00439",3,1,16,13,9,2001,4,1,,,,"	01",2742,
41,1117,23,40033,5,1,"	01","	090","	00439",1,2,52,5,8,1965,2,6,,1,,"	01",2742,2742
41,1117,23,40033,1,1,"	02","	090","	00439",4,1,65,21,2,1952,2,6,,,,"	01",2742,
41,1117,23,40064,3,1,"	05","	089","	00440",4,1,9,21,6,2008,,,,,,"	01",4024,
41,1117,23,40064,3,1,"	02","	089","	00440",4,2,28,1,12,1988,3,3,,,,"	01",4024,
41,1117,23,40064,5,1,"	01","	089","	00440",1,2,19,21,3,1998,3,3,,,,"	01",4024,
41,1117,23,40064,3,1,"	03","	089","	00440",4,2,25,15,2,1992,2,2,,,,"	01",4024,
41,1117,23,40064,3,1,"	06","	089","	00440",4,2,4,15,6,2013,,,,,,"	01",4024,
41,1117,23,40064,2,1,"	01","	089","	00440",1,1,51,30,11,1966,7,5,3,1,,"	01",4024,4024
41,1117,23,40064,5,1,"	02","	089","	00440",2,1,23,13,6,1994,4,3,,1,,"	01",4024,8048
41,1117,23,40064,3,1,"	01","	089","	00440",1,1,30,15,6,1987,,,,,,"	01",4024,
41,1117,23,40064,3,1,"	07","	089","	00440",4,2,4,15,6,2013,,,,,,"	01",4024,
41,1117,23,40064,3,1,"	04","	089","	00440",4,1,22,15,6,1995,3,3,,1,,"	01",4024,16096
41,1117,23,40080,2,1,"	04","	091","	00441",3,1,19,29,11,1997,4,3,,,,"	01",2071,
41,1117,23,40080,2,1,"	05","	091","	00441",7,1,29,4,3,1988,4,3,,,,"	01",2071,
41,1117,23,40080,2,1,"	06","	091","	00441",7,1,21,8,1,1996,4,3,,,,"	01",2071,
41,1117,23,40080,4,1,"	01","	091","	00441",1,2,30,17,8,1987,3,3,,1,,"	01",2071,4142
41,1117,23,40080,4,1,"	02","	091","	00441",2,1,35,9,12,1981,7,3,3,,,"	01",2071,
41,1117,23,40080,2,1,"	03","	091","	00441",3,2,21,9,1,1996,7,2,3,,,"	01",2071,
41,1117,23,40080,2,1,"	02","	091","	00441",3,1,26,26,12,1990,7,3,3,1,,"	01",2071,12426
41,1117,23,40080,2,1,"	01","	091","	00441",1,2,45,10,9,1972,3,3,,,,"	01",2071,
41,1117,23,40080,1,1,"	01","	091","	00441",1,1,53,12,12,1963,3,3,,1,,"	01",2071,4142
41,1117,23,40080,5,1,"	02","	091","	00441",3,2,27,15,1,1990,7,5,3,,,"	01",2071,
41,1117,23,40080,5,1,"	01","	091","	00441",1,2,51,15,1,1966,5,4,2,,,"	01",2071,
41,1117,23,40080,1,1,"	03","	091","	00441",3,1,9,16,10,2008,2,3,,,,"	01",2071,
41,1117,23,40080,1,1,"	02","	091","	00441",2,2,52,4,10,1965,2,6,,,,"	01",2071,
41,1117,23,40080,3,1,"	01","	091","	00441",1,2,47,27,4,1970,2,3,,,,"	01",2071,
41,1117,23,40080,3,1,"	02","	091","	00441",3,2,21,10,7,1996,4,3,,1,,"	01",2071,4142
41,1117,23,40080,5,1,"	03","	091","	00441",3,1,26,15,11,1991,7,4,3,1,,"	01",2071,6213
41,1117,23,40086,5,1,"	03","	090","	00442",3,2,8,15,6,2009,2,2,,,,"	01",2803,
41,1117,23,40086,5,1,"	02","	090","	00442",2,2,33,15,6,1984,,,,,,"	01",2803,
41,1117,23,40086,5,1,"	01","	090","	00442",1,1,41,30,8,1976,3,3,,1,,"	01",2803,5606
41,1117,23,40086,3,1,"	02","	090","	00442",2,2,41,12,12,1975,3,3,,,,"	03",,
41,1117,23,40086,3,1,"	01","	090","	00442",1,1,45,15,6,1972,3,3,,,,"	03",,
41,1117,23,40086,3,1,"	07","	090","	00442",3,1,,27,1,2017,,,,,,"	03",,
41,1117,23,40086,3,1,"	06","	090","	00442",3,1,12,25,11,2004,2,6,,,,"	03",,
41,1117,23,40086,3,1,"	05","	090","	00442",4,1,20,15,5,1997,3,3,,,1,"	03",,
41,1117,23,40086,3,1,"	04","	090","	00442",4,2,23,15,1,1994,4,3,,1,,"	03",,
41,1117,23,40086,3,1,"	03","	090","	00442",3,1,16,5,5,2001,4,1,,,,"	03",,
41,1117,23,40086,4,1,"	03","	090","	00442",3,1,7,21,9,2010,2,1,,,,"	01",2803,
41,1117,23,40086,4,1,"	02","	090","	00442",2,2,28,9,11,1989,3,3,,1,,"	01",2803,5606
41,1117,23,40086,4,1,"	01","	090","	00442",1,1,44,3,8,1973,3,3,,,,"	01",2803,
41,1117,23,40086,2,1,"	02","	090","	00442",2,2,24,6,10,1993,3,3,,1,,"	01",2803,5606
41,1117,23,40086,2,1,"	01","	090","	00442",1,1,24,8,8,1993,7,4,3,,,"	01",2803,
41,1117,23,40086,1,1,"	04","	090","	00442",2,2,12,17,1,2005,2,6,,,,"	01",2803,
41,1117,23,40086,1,1,"	03","	090","	00442",3,2,19,4,12,1997,7,1,3,1,,"	01",2803,8409
41,1117,23,40086,1,1,"	02","	090","	00442",2,2,39,2,9,1978,2,6,,,,"	01",2803,
41,1117,23,40086,1,1,"	01","	090","	00442",1,1,42,30,8,1975,3,3,,,,"	01",2803,
41,1117,23,40138,3,1,"	01","	092","	00443",1,1,74,22,12,1942,2,4,,,,"	01",4036,
41,1117,23,40138,5,1,"	02","	092","	00443",7,1,35,10,10,1982,,,,,,"	01",4036,
41,1117,23,40138,3,1,"	03","	092","	00443",3,2,24,9,6,1993,7,5,3,1,,"	01",4036,12108
41,1117,23,40138,2,1,"	01","	092","	00443",1,1,37,31,12,1979,7,4,3,,,"	01",4036,
41,1117,23,40138,2,1,"	02","	092","	00443",2,2,33,18,11,1983,7,4,3,1,,"	01",4036,8072
41,1117,23,40138,2,1,"	03","	092","	00443",3,2,5,12,10,2012,1,2,,,,"	01",4036,
41,1117,23,40138,2,1,"	04","	092","	00443",3,2,1,24,1,2016,,,,,,"	01",4036,
41,1117,23,40138,4,1,"	01","	092","	00443",1,2,48,11,12,1968,7,3,3,,,"	03",,
41,1117,23,40138,4,1,"	02","	092","	00443",4,2,72,16,1,1945,6,3,2,1,,"	03",,
41,1117,23,40138,1,1,"	01","	092","	00443",1,2,30,2,3,1987,7,2,3,1,,"	01",4036,8072
41,1117,23,40138,1,1,"	02","	092","	00443",7,1,25,15,7,1992,7,4,3,,,"	01",4036,
41,1117,23,40138,1,1,"	03","	092","	00443",3,2,12,23,11,2004,2,6,,,,"	01",4036,
41,1117,23,40138,1,1,"	04","	092","	00443",3,2,1,24,2,2016,,,,,,"	01",4036,
41,1117,23,40138,5,1,"	01","	092","	00443",1,1,21,11,9,1996,4,3,,1,,"	01",4036,8072
41,1117,23,40138,3,1,"	02","	092","	00443",2,2,69,10,3,1948,2,6,,,,"	01",4036,
41,1117,23,40152,5,1,"	01","	090","	00444",1,2,36,15,6,1981,2,3,,,,"	01",2469,
41,1117,23,40152,5,1,"	02","	090","	00444",3,1,18,3,9,1999,3,3,,1,,"	01",2469,4938
41,1117,23,40152,5,1,"	03","	090","	00444",3,2,14,9,7,2003,3,2,,,,"	01",2469,
41,1117,23,40152,5,1,"	04","	090","	00444",3,2,12,12,5,2005,2,6,,,,"	01",2469,
41,1117,23,40152,5,1,"	05","	090","	00444",3,1,10,2,10,2007,2,4,,,,"	01",2469,
41,1117,23,40152,5,1,"	06","	090","	00444",3,2,8,29,10,2009,2,1,,,,"	01",2469,
41,1117,23,40152,5,1,"	07","	090","	00444",3,2,5,29,8,2012,1,2,,,,"	01",2469,
41,1117,23,40152,2,1,"	01","	090","	00444",1,1,48,26,9,1969,3,3,,1,,"	01",2469,9876
41,1117,23,40152,2,1,"	02","	090","	00444",2,2,50,8,5,1967,2,6,,,,"	01",2469,
41,1117,23,40152,2,1,"	03","	090","	00444",3,2,26,20,1,1991,4,3,,,,"	01",2469,
41,1117,23,40152,2,1,"	04","	090","	00444",3,1,20,31,5,1997,7,1,3,,,"	01",2469,
41,1117,23,40152,3,1,"	01","	090","	00444",1,1,58,29,1,1959,2,6,,,,"	01",2469,
41,1117,23,40152,3,1,"	02","	090","	00444",2,2,60,8,7,1957,5,4,2,,,"	01",2469,
41,1117,23,40152,3,1,"	03","	090","	00444",3,1,30,27,3,1987,4,2,,,,"	01",2469,
41,1117,23,40152,3,1,"	04","	090","	00444",7,2,28,22,8,1989,3,3,,,,"	01",2469,
41,1117,23,40152,3,1,"	05","	090","	00444",3,1,37,17,2,1980,7,5,3,1,,"	01",2469,12345
41,1117,23,40152,3,1,"	06","	090","	00444",4,1,11,22,7,2006,2,5,,,,"	01",2469,
41,1117,23,40152,3,1,"	07","	090","	00444",4,1,9,6,2,2008,2,3,,,,"	01",2469,
41,1117,23,40152,4,1,"	01","	090","	00444",1,1,45,16,4,1972,3,3,,,,"	01",2469,
41,1117,23,40152,4,1,"	02","	090","	00444",2,2,42,16,1,1975,3,3,,,,"	01",2469,
41,1117,23,40152,4,1,"	03","	090","	00444",3,1,22,13,2,1995,4,3,,,1,"	01",2469,
41,1117,23,40152,4,1,"	04","	090","	00444",3,1,20,25,8,1997,4,3,,1,,"	01",2469,9876
41,1117,23,40152,4,1,"	05","	090","	00444",3,1,4,14,11,2013,,,,,,"	01",2469,
41,1117,23,40152,1,1,"	01","	090","	00444",1,1,34,25,4,1983,3,3,,1,,"	01",2469,7407
41,1117,23,40152,1,1,"	02","	090","	00444",7,1,37,8,12,1979,3,3,,,,"	01",2469,
41,1117,23,40152,1,1,"	03","	090","	00444",7,1,28,15,1,1989,3,3,,,,"	01",2469,
41,1117,23,40177,4,1,"	02","	091","	00445",3,1,16,17,11,2001,3,3,,,,"	01",3222,
