"id","host_id","neighbourhood","property_type","room_type","accommodates","price","minimum_nights","maximum_nights","bedrooms","beds","cancellation_policy","number_of_reviews","review_scores_accuracy"
783609,4131894,6,29,1,5,2128,3,120,1,3,"moderate",76,10
783919,4133627,5,2,1,4,1902,20,365,2,3,"moderate",29,10
784107,3126571,6,2,3,2,474,2,30,1,1,"flexible",58,10
796477,4195771,6,2,3,2,519,2,120,1,1,"moderate",137,9
811088,76304,6,2,1,4,1472,60,1125,2,2,"moderate",14,10
822005,4316391,11,29,1,6,1291,4,360,1,1,"strict_14_with_grace_period",48,9
824016,4326326,6,2,1,2,902,4,180,1,1,"moderate",46,9
826691,4326326,6,2,1,2,815,3,200,1,1,"moderate",18,9
828714,4344353,4,2,1,4,1698,1,1125,2,2,"flexible",25,10
832805,3777702,6,26,3,2,453,1,1125,1,1,"strict_14_with_grace_period",123,10
840176,2828190,11,2,3,2,294,1,1125,1,3,"flexible",0,NA
844818,4410326,3,2,3,2,453,2,1125,1,0,"moderate",8,10
858277,3200155,6,2,1,6,3805,3,300,3,4,"strict_14_with_grace_period",136,10
864999,3991683,4,26,3,2,566,3,8,1,0,"moderate",21,9
865012,3850198,6,33,2,2,1246,3,730,1,1,"moderate",30,10
865017,3991683,4,26,3,2,589,3,8,1,1,"moderate",5,9
865034,3991683,4,4,3,2,592,3,8,1,1,"moderate",3,8
865045,3991683,4,4,2,2,634,3,15,1,1,"moderate",11,9
865070,3991683,4,4,2,2,611,3,15,1,1,"moderate",8,10
868843,3850198,6,33,2,2,1128,4,730,1,1,"moderate",27,10
868986,3850198,6,33,1,2,1132,4,730,1,1,"moderate",11,10
869063,3850198,6,33,2,2,1132,3,730,1,1,"moderate",17,10
883511,3777702,6,26,1,16,3826,1,90,10,16,"strict_14_with_grace_period",168,10
896522,4647293,6,2,1,2,1245,2,365,1,1,"flexible",172,10
898633,4796027,6,2,3,2,860,2,10,1,1,"strict_14_with_grace_period",46,10
911088,2875548,6,2,3,1,1276,1,1125,1,NA,"flexible",0,NA
931771,5019262,4,26,3,2,315,1,1125,1,1,"moderate",2,9
939721,4821807,6,29,1,3,1925,3,365,1,2,"strict_14_with_grace_period",394,10
958470,5215017,3,2,4,2,28777,1,30,1,2,"flexible",0,NA
980600,4157866,15,31,3,1,450,1,300,1,1,"strict_14_with_grace_period",47,10
997247,5479592,6,2,1,4,1812,2,1000,2,2,"strict_14_with_grace_period",333,10
1001517,5507751,4,26,1,6,2264,2,200,2,2,"strict_14_with_grace_period",70,10
1007174,5540061,6,26,3,2,906,3,90,1,2,"moderate",9,10
1011428,5307709,1,26,1,6,7019,7,90,3,4,"moderate",15,10
1013504,1664327,4,26,3,1,362,2,200,1,1,"flexible",46,10
1019309,3151394,11,15,1,4,996,1,1125,2,2,"strict_14_with_grace_period",66,10
1051636,1809694,6,2,3,2,883,2,120,1,2,"strict_14_with_grace_period",23,9
1056473,403236,6,2,1,4,2446,3,35,2,2,"moderate",167,10
1066945,5870021,4,22,3,2,725,2,365,1,1,"strict_14_with_grace_period",143,10
1079898,1671446,14,26,3,1,270,3,360,1,1,"strict_14_with_grace_period",25,10
1087636,5975456,4,2,3,1,450,1,13,1,1,"moderate",26,10
1107979,6083480,9,26,3,1,338,1,1125,1,1,"flexible",0,NA
1125048,6171755,3,2,3,2,2279,2,3,1,1,"flexible",0,NA
1130658,6203086,3,2,1,3,798,1,1125,2,2,"moderate",14,10
1135302,6203086,3,2,3,3,387,2,1125,1,1,"moderate",7,10
1147080,727250,14,2,3,3,405,2,1125,2,2,"moderate",1,10
1162686,6359246,11,2,3,1,2700,1,1125,1,NA,"flexible",0,NA
1164876,212109,4,26,1,6,4800,10,21,3,3,"strict_14_with_grace_period",6,10
1167552,6393641,6,26,3,2,747,3,28,1,2,"moderate",101,10
1170780,6409883,3,2,3,2,476,3,1125,1,1,"moderate",17,10
1187817,4326326,6,2,1,3,815,180,360,1,1,"strict_14_with_grace_period",50,10
1208312,6598890,6,2,3,2,974,2,7,1,1,"flexible",0,NA
1211383,212109,4,26,3,2,889,5,21,1,0,"strict_14_with_grace_period",20,10
1226234,6688806,11,2,1,4,2717,3,24,2,2,"moderate",21,10
1233187,4079778,4,2,3,1,385,1,1125,1,1,"flexible",2,10
1236668,5525131,6,2,1,4,1811,6,1125,3,0,"strict_14_with_grace_period",4,7
1240549,6762049,6,2,1,4,1359,3,1125,1,1,"moderate",7,10
1283294,5755202,6,2,1,3,2038,3,1000,1,1,"moderate",108,10
1286695,6998716,11,2,1,2,1245,5,1125,1,1,"moderate",17,10
1288566,540705,11,2,1,2,4211,4,1125,1,1,"flexible",35,10
1309198,7116734,4,26,3,2,270,1,1125,1,1,"strict_14_with_grace_period",1,10
1324525,7189850,3,2,3,2,501,1,1125,1,1,"moderate",3,10
1335688,7242746,1,26,3,4,589,1,60,2,3,"flexible",45,10
1337735,6775211,11,2,1,4,2151,6,1125,2,2,"moderate",44,10
1344188,7271395,3,2,3,2,679,3,15,1,1,"moderate",213,10
1363110,6409883,3,2,3,2,475,3,1125,1,1,"moderate",26,10
1378164,2492211,3,2,1,2,249,3,1125,1,1,"strict_14_with_grace_period",30,9
1380783,7477163,11,2,3,3,1924,2,30,1,2,"moderate",116,10
1391370,2269083,11,2,3,1,226,2,1125,1,1,"strict_14_with_grace_period",4,9
1397329,7007289,3,2,1,2,657,3,1125,1,3,"moderate",0,NA
1403168,7569372,11,2,3,2,702,2,1125,1,0,"strict_14_with_grace_period",1,10
1403218,3777702,6,26,3,2,453,1,1125,1,1,"strict_14_with_grace_period",157,10
1404363,5341352,3,29,1,2,996,3,365,0,1,"moderate",104,10
1411454,7609684,6,2,1,2,1404,3,1125,1,1,"strict_14_with_grace_period",251,10
1428423,7681297,3,2,3,2,1087,1,1125,1,1,"flexible",0,NA
1429120,6203086,3,2,3,1,294,2,1125,1,1,"moderate",22,10
1441365,7738527,6,2,1,4,1699,4,1125,2,2,"strict_14_with_grace_period",77,10
1441434,7740056,6,2,1,2,1902,2,250,1,1,"moderate",205,10
1455119,3941419,16,26,3,2,883,1,1125,1,1,"flexible",0,NA
1462549,7838265,11,2,1,2,1494,7,1124,1,2,"moderate",55,10
1476127,7900007,3,2,3,2,589,2,60,1,1,"moderate",156,10
1483498,7936694,6,2,1,4,1245,2,364,2,2,"strict_14_with_grace_period",190,10
1483664,6373011,4,15,3,2,1025,30,30,1,1,"moderate",3,10
1511307,7473312,6,29,1,5,2581,2,60,1,4,"moderate",289,9
1514815,8069764,6,4,3,2,951,1,1125,1,1,"flexible",13,9
1544767,4079778,4,29,1,3,906,1,1125,1,2,"strict_14_with_grace_period",2,9
1547284,5341352,3,2,1,4,611,2,1125,2,3,"moderate",42,10
1555819,8282570,6,2,1,3,1653,3,1125,1,1,"strict_14_with_grace_period",241,10
1565220,2518152,1,6,2,2,2989,1,90,1,1,"moderate",23,10
1571327,8355403,3,2,3,2,566,2,1125,1,1,"flexible",7,10
1589621,7294169,6,2,3,2,408,2,1125,1,1,"strict_14_with_grace_period",100,10
1599474,8098515,11,2,3,2,1094,1,365,1,1,"strict_14_with_grace_period",21,9
1627630,8282570,6,2,1,3,1653,3,1125,1,2,"strict_14_with_grace_period",224,10
1644188,8714971,11,2,1,3,2143,5,30,2,2,"strict_14_with_grace_period",11,10
1662282,4378849,6,2,1,4,1804,10,1125,2,0,"strict_14_with_grace_period",48,10
1664823,8818735,3,2,1,4,906,2,40,2,3,"flexible",78,10
1676923,1971675,6,29,1,3,2219,1,1125,1,2,"strict_14_with_grace_period",189,10
1689161,8879557,6,2,1,3,1714,3,1125,1,1,"moderate",103,10
1727725,2518152,1,4,3,2,2598,1,90,1,1,"moderate",31,10
1736063,2518152,1,6,2,2,2196,1,90,1,1,"moderate",34,10
1751062,8155176,2,26,3,1,342,2,30,1,1,"flexible",0,NA
1768385,1004821,6,15,1,6,1472,1,90,2,3,"flexible",168,10
1780789,4523316,6,2,3,2,725,3,1125,1,1,"moderate",16,10
1826212,9556116,3,2,1,4,589,3,1125,2,3,"flexible",89,10
1839523,9614284,15,2,3,2,14992,1,1125,1,1,"flexible",0,NA
1850394,9664207,6,2,1,6,2151,2,60,2,3,"moderate",250,10
1877286,5755202,6,2,1,2,2378,3,1125,1,1,"moderate",83,9
1890998,3320356,6,2,1,2,2219,3,180,1,1,"strict_14_with_grace_period",244,10
1901884,1914525,3,2,3,2,521,1,15,1,1,"flexible",35,10
1905663,9891484,6,26,1,3,1132,1,1125,2,2,"flexible",1,10
1906586,8069764,6,4,3,2,1155,1,1125,1,1,"flexible",3,10
1915601,8355403,3,2,3,4,684,2,1125,1,2,"strict_14_with_grace_period",6,10
1919273,9949877,6,2,3,2,408,2,180,1,1,"moderate",73,10
1919310,9949877,6,2,3,2,385,2,1125,1,1,"moderate",140,10
1919438,3494399,6,29,1,4,2151,3,365,1,2,"strict_14_with_grace_period",185,10
1920070,9953466,14,26,3,1,448,1,1125,1,2,"moderate",3,10
1925256,2518152,1,6,3,2,2196,1,90,1,1,"moderate",36,10
1945351,340030,14,26,3,2,672,3,1125,1,1,"flexible",2,10
1949644,10081994,6,2,1,4,1109,2,90,2,2,"flexible",62,10
1949769,8355403,3,2,1,6,1811,1,1125,2,3,"flexible",9,9
1967028,3440521,6,2,1,3,1398,3,50,2,3,"moderate",7,10
1988412,10128524,3,2,1,2,1019,365,365,2,2,"moderate",23,10
1999474,10300365,6,2,1,4,2197,4,45,2,2,"strict_14_with_grace_period",56,10
2004302,2566629,11,2,1,5,4511,15,1125,2,2,"strict_14_with_grace_period",0,NA
2007564,9155234,11,29,1,4,679,3,600,0,2,"strict_14_with_grace_period",87,10
2015276,5974590,11,2,1,4,2940,1,365,1,1,"strict_14_with_grace_period",54,9
2030859,790208,11,26,3,6,996,2,365,2,5,"strict_14_with_grace_period",50,10
2032342,10433685,6,26,1,6,974,4,90,3,3,"moderate",28,10
2045772,1996741,6,2,1,2,883,3,1125,1,2,"strict_14_with_grace_period",12,9
2046159,7682248,6,26,3,3,638,3,90,1,2,"strict_14_with_grace_period",32,9
2056514,10531228,4,2,1,4,1177,2,1125,1,2,"flexible",34,10
2056622,10531228,4,29,1,3,1562,2,1125,1,2,"moderate",13,10
2056638,10531228,4,29,1,3,1789,1,1125,1,1,"moderate",21,9
2072354,10592410,4,22,1,2,679,3,1125,1,1,"moderate",60,10
2075738,2339771,6,2,1,2,3397,2,10,1,1,"strict_14_with_grace_period",44,10
2083241,8282570,6,2,1,3,1608,3,1125,1,2,"strict_14_with_grace_period",191,10
2084093,10644799,15,29,1,4,495,1,1125,1,2,"flexible",532,9
2088218,10659485,4,26,3,1,385,2,1125,1,1,"flexible",5,10
2093036,3083561,11,2,3,2,2196,1,1125,1,2,"strict_14_with_grace_period",0,NA
2094427,3675629,11,2,1,2,1653,3,120,1,1,"flexible",63,10
2102817,2534084,3,26,4,8,5096,3,15,1,6,"flexible",0,NA
2103827,1811779,11,2,1,10,1992,1,60,3,6,"flexible",3,7
2112138,10592410,4,22,1,3,792,3,1125,1,2,"moderate",37,9
2117709,4079778,4,29,1,2,611,1,1125,1,1,"flexible",8,10
2118573,10802698,3,2,1,6,1585,2,180,3,4,"strict_14_with_grace_period",164,10
2127400,350668,6,35,3,2,1925,2,7,1,0,"moderate",155,10
2130176,1326107,6,2,1,4,1060,5,1125,2,2,"strict_14_with_grace_period",36,10
2139830,10897361,4,2,1,4,1132,4,1125,2,2,"flexible",0,NA
2141665,4425585,11,2,1,2,654,7,180,1,1,"moderate",85,9
2165745,5324891,4,2,3,2,634,1,1125,1,1,"flexible",1,10
2166030,5324891,4,2,3,1,543,1,1125,1,1,"flexible",3,9
2171338,7473312,6,29,1,5,2581,2,90,1,4,"moderate",274,9
2182375,1979548,3,2,1,4,1336,3,120,2,0,"strict_14_with_grace_period",40,10
2188749,11161077,3,26,3,2,498,2,14,1,1,"flexible",59,10
2228415,2518152,1,26,1,6,5004,2,180,3,3,"moderate",3,10
2233440,11401020,6,6,3,2,4778,1,365,1,1,"flexible",1,10
2237624,9350608,6,2,1,4,1481,2,365,1,3,"strict_14_with_grace_period",132,9
2238309,7165956,6,29,1,2,2151,30,365,1,2,"flexible",240,10
2257525,11528964,11,2,3,2,272,5,1125,1,1,"flexible",32,9
2284377,11668406,11,2,3,2,838,15,1125,1,1,"strict_14_with_grace_period",13,10
2289797,10211713,6,2,1,4,1449,7,1125,2,2,"strict_14_with_grace_period",271,10
2297044,8618270,6,33,1,2,2242,2,1125,1,1,"moderate",5,9
2297850,11736749,11,2,3,2,589,1,1125,1,2,"moderate",214,9
2302327,9470995,6,2,3,2,1472,3,1125,1,1,"moderate",50,10
2307983,3887359,6,29,1,5,1925,1,1125,2,4,"moderate",214,10
2315918,8618270,6,2,1,2,1993,2,1125,0,0,"flexible",5,10
2318781,11841732,6,2,3,2,889,1,60,1,2,"strict_14_with_grace_period",121,10
2332505,11913288,6,2,3,2,5660,1,1125,1,2,"flexible",0,NA
2338975,11945239,3,2,1,4,592,2,1125,2,2,"moderate",42,10
2339021,60079,11,29,1,2,974,3,1125,0,1,"moderate",90,10
2345760,11979276,3,2,3,1,498,3,15,1,1,"flexible",0,NA
2350051,12000140,3,2,3,4,570,2,1125,1,2,"moderate",13,9
2351615,11849051,4,2,3,1,272,1,3,1,1,"flexible",0,NA
2368160,12099564,3,2,3,1,498,1,1125,1,1,"flexible",0,NA
2373420,11928644,4,2,3,1,273,2,60,1,1,"strict_14_with_grace_period",9,9
2401724,7729316,6,2,1,4,1268,1,1125,2,3,"flexible",86,10
2404572,12288989,6,2,3,2,883,2,32,1,1,"flexible",1,10
2406485,9931809,11,2,3,2,385,2,1125,1,1,"moderate",39,10
2407017,12304061,6,2,3,2,385,7,1125,1,1,"moderate",0,NA
2419999,2872228,6,2,1,3,1472,2,30,1,1,"strict_14_with_grace_period",11,9
2424204,12389380,6,29,1,4,2468,3,90,1,0,"strict_14_with_grace_period",24,10
2436156,11926583,6,29,1,5,1268,4,60,2,2,"moderate",62,10
2444573,12497740,3,2,1,2,1200,7,35,1,1,"flexible",11,10
2447795,8324471,11,29,1,2,1353,7,90,1,1,"moderate",33,10
2454661,12035562,11,2,1,2,1313,2,90,1,1,"strict_14_with_grace_period",132,10
2484037,9852611,6,29,1,3,1291,2,80,1,0,"strict_14_with_grace_period",133,10
2488193,12389380,6,2,1,3,2028,3,90,1,2,"strict_14_with_grace_period",37,10
2506525,12829914,4,26,3,2,203,1,1125,1,0,"flexible",46,10
2516668,3729922,3,2,3,1,340,30,150,1,1,"flexible",0,NA
2519535,5870021,4,22,3,2,725,2,365,1,1,"flexible",62,10
2521698,12910391,6,26,3,2,1698,2,90,1,0,"flexible",71,10
2537481,12992813,6,2,1,2,2174,2,1125,1,1,"moderate",235,10
2537521,4796027,6,2,1,6,2763,2,90,2,2,"flexible",161,10
2537695,12934396,6,2,1,4,2038,3,1125,2,2,"flexible",66,10
2540221,13007874,4,2,1,3,1245,3,1125,2,2,"moderate",27,9
2546210,13036898,3,2,3,1,251,5,1125,1,1,"flexible",3,9
2547576,7520833,4,22,1,2,498,2,1125,1,1,"flexible",36,10
2560062,10811347,6,2,3,2,385,1,1125,1,1,"moderate",97,10
2565646,11513316,6,2,1,4,2944,2,60,2,2,"moderate",181,10
2600536,333463,4,26,3,1,340,2,1125,1,1,"moderate",10,9
2601349,13321914,1,26,1,6,1937,2,365,3,4,"moderate",4,10
2601887,13323021,6,2,1,4,1246,1,1125,1,2,"strict_14_with_grace_period",25,10
2601933,8618270,6,2,1,2,2242,3,1125,1,1,"strict_14_with_grace_period",3,10
2608105,10633036,11,26,3,5,996,2,30,3,2,"moderate",16,10
2643099,13530256,4,23,3,2,657,2,1125,1,1,"strict_14_with_grace_period",37,10
2666125,2072566,6,2,1,4,2944,10,90,2,3,"moderate",95,10
2691955,13776595,6,2,3,2,1132,14,1125,1,0,"moderate",77,10
2702917,13833034,11,2,3,1,544,5,1125,1,2,"flexible",10,9
2702990,13546932,11,2,3,2,792,1,1125,1,1,"flexible",1,NA
2716649,2333285,6,2,3,3,2038,3,20,1,3,"strict_14_with_grace_period",0,NA
2729425,12581631,3,26,3,1,340,30,120,1,1,"flexible",1,10
2729571,13969223,6,2,1,2,883,2,30,1,1,"moderate",67,10
2730058,9228767,3,2,3,1,566,1,1125,1,1,"flexible",0,NA
2730414,13973690,5,26,1,5,608,2,1125,3,3,"flexible",5,8
2730883,12581631,3,26,3,2,316,28,365,1,1,"flexible",14,10
2745912,14047971,3,22,1,1,317,7,1125,1,1,"strict_14_with_grace_period",25,10
2755055,12175785,6,2,1,4,2831,30,90,2,2,"strict_14_with_grace_period",121,10
2755443,7936694,11,2,1,4,1240,2,1125,2,2,"strict_14_with_grace_period",53,10
2763003,6611559,4,2,3,2,294,5,300,1,1,"strict_14_with_grace_period",39,10
2764638,193972,6,2,1,2,1195,3,1125,1,1,"flexible",1,8
2784853,5755202,15,2,1,2,883,6,1000,1,1,"moderate",101,9
2789086,14266395,6,2,3,1,657,3,7,1,NA,"strict_14_with_grace_period",0,NA
2794006,14291448,3,2,1,4,770,3,1125,2,2,"moderate",22,10
2804089,13110261,3,2,4,2,679,1,1125,1,1,"flexible",0,NA
2831712,8618270,6,2,1,2,1993,2,1125,0,1,"flexible",4,9
2836677,14510906,11,15,1,1,1585,3,1125,1,1,"moderate",18,10
2848002,5870021,4,22,3,2,725,2,365,1,1,"strict_14_with_grace_period",24,10
2848113,5870021,4,22,3,2,725,2,365,1,1,"strict_14_with_grace_period",53,10
2858563,14615670,3,26,3,1,249,3,1125,1,1,"moderate",3,10
2863665,14636903,11,2,3,2,408,2,1125,1,1,"moderate",215,10
2865649,13546932,11,2,3,2,1811,1,1125,1,1,"flexible",0,NA
2894095,14791549,5,2,1,10,1390,2,1124,2,3,"moderate",89,10
2905087,4093881,6,2,3,2,476,2,10,1,1,"moderate",27,10
2908957,2281290,6,33,1,2,1223,1,1125,1,0,"moderate",33,9
2918765,14905408,11,2,3,2,1553,2,1125,1,1,"flexible",10,10
2919309,12698417,4,26,4,2,293,2,10,1,1,"moderate",0,NA
2932151,13793390,11,2,3,2,249,1,1125,1,1,"flexible",0,NA
2942919,14993631,4,7,1,2,453,2,1125,1,1,"strict_14_with_grace_period",61,9
2943586,2281290,3,2,1,5,951,2,1125,3,4,"moderate",95,10
2943836,13709233,3,2,1,4,1132,3,90,2,2,"moderate",54,10
2957790,1671446,14,26,3,1,270,3,360,1,1,"strict_14_with_grace_period",14,10
2979950,14170388,3,26,3,2,385,7,90,1,1,"moderate",32,10
2984619,15219834,11,2,1,2,1367,2,1125,1,1,"strict_14_with_grace_period",60,9
2984948,15219834,11,2,1,2,1575,3,1125,1,1,"strict_14_with_grace_period",23,8
2985126,15219834,11,2,1,2,684,2,1125,1,0,"strict_14_with_grace_period",8,9
2986194,15219834,11,2,1,4,2025,3,1125,2,2,"moderate",22,9
2986213,15227398,6,2,3,1,342,1,1125,1,1,"flexible",0,NA
2987766,15219834,11,2,1,2,1575,3,1125,1,1,"moderate",28,10
2993993,15219834,11,2,1,6,2678,2,1125,3,4,"strict_14_with_grace_period",50,10
3011163,14170388,3,26,3,2,385,7,90,1,1,"moderate",24,10
3013008,15200931,11,2,1,3,1653,1,1125,1,2,"flexible",70,10
3027692,9350608,6,2,1,2,1132,3,365,1,1,"strict_14_with_grace_period",71,9
3030227,9194788,3,2,3,1,408,2,1125,1,1,"moderate",1,10
3031671,15441630,6,2,3,2,3758,1,1125,1,1,"flexible",0,NA
